Date,Open,High,Low,Close,Volume
2015-03-09,37.658,38.499,37.658,38.249,35970692.0
2015-03-06,38.383,38.482,37.623,37.81,40609656.0
2015-03-05,38.443,38.597,38.223,38.482,25983829.0
2015-03-04,38.391,38.568,38.276,38.434,28846324.0
2015-03-03,38.882,39.124,38.463,38.632,35568164.0
2015-03-02,38.981,39.443,38.874,39.167,35764668.0
2015-02-27,39.397,39.452,38.972,39.142,37870389.0
2015-02-26,39.269,39.48,39.176,39.328,32440382.0
2015-02-25,39.232,39.355,39.096,39.269,33338219.0
2015-02-24,39.406,39.542,39.203,39.355,28310729.0
2015-02-23,39.009,39.443,38.963,39.406,36430698.0
2015-02-20,38.831,39.167,38.639,39.142,33294411.0
2015-02-19,38.623,38.855,38.425,38.831,30920281.0
2015-02-18,38.945,39.009,38.731,38.855,30372332.0
2015-02-17,39.25,39.278,38.554,38.898,37747682.0
2015-02-13,38.446,38.882,38.244,38.882,45273183.0
2015-02-12,37.837,38.191,37.675,38.191,37533691.0
2015-02-11,37.8,37.8,37.411,37.562,43168274.0
2015-02-10,37.882,37.909,37.384,37.755,33474428.0
2015-02-09,37.438,37.882,37.411,37.544,35403008.0
2015-02-06,37.827,37.927,37.357,37.589,39056668.0
2015-02-05,37.419,37.792,37.092,37.623,41234492.0
2015-02-04,37.173,37.411,36.659,37.082,46951001.0
2015-02-03,36.896,37.164,36.375,36.87,58760364.0
2015-02-02,35.975,36.668,35.655,36.587,56805422.0
2015-01-30,36.826,36.851,35.762,35.809,88003563.0
2015-01-29,36.275,37.331,36.151,37.233,71735777.0
2015-01-28,37.882,37.927,36.48,36.506,99378094.0
2015-01-27,38.068,38.288,37.314,37.809,190851261.0
2015-01-26,41.658,41.773,40.984,41.666,47746418.0
2015-01-23,41.975,42.0,41.48,41.816,26155514.0
2015-01-22,41.204,41.777,40.842,41.773,35041454.0
2015-01-21,40.716,40.895,40.31,40.699,43098262.0
2015-01-20,41.036,41.347,40.391,41.116,31780265.0
2015-01-16,40.16,41.019,40.037,40.984,40273354.0
2015-01-15,40.965,41.106,40.246,40.31,36947166.0
2015-01-14,40.734,40.984,40.434,40.734,33528463.0
2015-01-13,41.63,42.461,40.824,41.077,39788574.0
2015-01-12,42.028,42.137,41.087,41.303,26685033.0
2015-01-09,42.198,42.384,41.566,41.825,27015724.0
2015-01-08,41.435,42.321,41.407,42.182,33446057.0
2015-01-07,40.753,41.179,40.319,40.974,32848591.0
2015-01-06,41.106,41.435,40.365,40.458,41120116.0
2015-01-05,41.097,41.416,40.991,41.062,44761004.0
2015-01-02,41.355,42.028,41.248,41.444,31488859.0
2014-12-31,41.416,42.046,41.169,41.169,24316839.0
2014-12-30,42.046,42.207,41.517,41.675,18486056.0
2014-12-29,42.275,42.347,41.886,42.055,16291808.0
2014-12-26,42.906,42.906,42.384,42.438,14890780.0
2014-12-24,43.11,43.11,42.611,42.666,12910664.0
2014-12-23,42.87,43.253,42.658,42.942,26690283.0
2014-12-22,42.347,42.648,42.285,42.524,29973176.0
2014-12-19,42.198,42.631,41.808,42.237,72830521.0
2014-12-18,41.285,42.117,41.07,42.117,45244182.0
2014-12-17,39.927,40.716,39.794,40.541,39455511.0
2014-12-16,40.679,41.07,39.999,40.028,53893130.0
2014-12-15,41.832,42.247,41.256,41.364,32999642.0
2014-12-12,41.371,42.303,41.364,41.612,38641730.0
2014-12-11,41.728,42.311,41.371,41.808,32789116.0
2014-12-10,42.173,42.237,41.39,41.566,34335562.0
2014-12-09,41.754,42.47,41.701,42.182,27446643.0
2014-12-08,42.829,42.854,42.046,42.265,30082663.0
2014-12-05,43.271,43.402,42.878,42.916,30816069.0
2014-12-04,42.888,43.483,42.718,43.288,34237784.0
2014-12-03,42.933,42.986,42.374,42.611,26552735.0
2014-12-02,43.288,43.474,42.718,42.951,29074339.0
2014-12-01,42.438,43.235,42.285,43.092,35190434.0
2014-11-28,42.498,42.71,42.198,42.374,24296848.0
2014-11-26,42.091,42.534,41.904,42.321,30649344.0
2014-11-25,42.237,42.516,42.055,42.073,31600730.0
2014-11-24,42.534,42.544,42.0,42.182,39978670.0
2014-11-21,43.447,43.474,42.165,42.524,48384855.0
2014-11-20,42.544,43.162,42.429,43.162,24266111.0
2014-11-19,43.128,43.208,42.479,42.737,29535246.0
2014-11-18,43.545,43.719,43.162,43.2,27119252.0
2014-11-17,43.518,43.782,43.282,43.563,34421729.0
2014-11-14,43.81,44.072,43.501,43.667,33019184.0
2014-11-13,42.99,43.728,42.901,43.691,29757585.0
2014-11-12,42.769,43.085,42.733,42.962,25798532.0
2014-11-11,43.023,43.095,42.851,43.043,26619453.0
2014-11-10,42.883,43.29,42.761,43.061,41292838.0
2014-11-07,43.085,43.085,42.531,42.874,31791480.0
2014-11-06,42.156,43.033,42.091,42.893,37508688.0
2014-11-05,42.1,42.19,41.624,42.156,25486732.0
2014-11-04,41.661,42.037,41.616,41.897,24445098.0
2014-11-03,41.299,41.801,41.158,41.784,26250513.0
2014-10-31,41.345,41.369,40.936,41.351,40703551.0
2014-10-30,40.779,40.799,40.313,40.56,34145740.0
2014-10-29,40.904,41.13,40.814,41.06,34383892.0
2014-10-28,40.394,40.955,40.313,40.946,32982959.0
2014-10-27,40.259,40.602,40.259,40.435,34483449.0
2014-10-24,41.225,41.309,39.791,40.629,69348625.0
2014-10-23,39.342,40.023,39.22,39.654,51546399.0
2014-10-22,39.636,39.698,38.947,39.086,38126381.0
2014-10-21,39.07,39.606,38.919,39.528,41366695.0
2014-10-20,37.927,38.877,37.705,38.826,39203489.0
2014-10-17,38.049,38.7,37.687,38.425,46190016.0
2014-10-16,37.459,37.944,37.185,37.642,55680214.0
2014-10-15,37.866,38.217,37.079,38.067,68372968.0
2014-10-14,38.637,39.086,38.366,38.516,43280847.0
2014-10-13,38.594,39.248,38.304,38.442,42119981.0
2014-10-10,40.162,40.621,38.709,38.778,59011848.0
2014-10-09,40.955,41.217,40.285,40.385,39084857.0
2014-10-08,40.067,41.299,39.933,41.202,37502336.0
2014-10-07,40.394,40.451,40.004,40.101,29206783.0
2014-10-06,40.621,40.779,40.444,40.595,23393532.0
2014-10-03,40.496,40.779,40.171,40.595,36847295.0
2014-10-02,40.367,40.602,40.196,40.303,28520463.0
2014-10-01,40.753,40.982,40.385,40.426,43243473.0
2014-09-30,40.841,40.936,40.525,40.832,37505530.0
2014-09-29,40.496,41.008,40.303,40.904,29623589.0
2014-09-26,40.451,41.06,40.303,40.874,30744497.0
2014-09-25,41.291,41.475,40.542,40.55,37549230.0
2014-09-24,41.068,41.494,40.814,41.466,30181897.0
2014-09-23,41.262,41.377,40.929,41.008,37956709.0
2014-09-22,41.661,41.73,41.377,41.449,43924019.0
2014-09-19,41.225,41.897,41.044,41.853,229944952.0
2014-09-18,41.035,41.244,40.921,41.113,40354498.0
2014-09-17,40.763,41.123,40.716,40.972,43498337.0
2014-09-16,40.857,41.262,40.772,41.186,31680103.0
2014-09-15,40.989,41.139,40.602,40.725,42765970.0
2014-09-12,41.335,41.412,41.044,41.123,43423374.0
2014-09-11,41.167,41.394,40.929,41.394,33172128.0
2014-09-10,41.235,41.345,40.763,41.254,31000502.0
2014-09-09,40.929,41.369,40.884,41.186,45755850.0
2014-09-08,40.534,41.217,40.505,40.929,51928620.0
2014-09-05,39.73,40.451,39.73,40.435,41929666.0
2014-09-04,39.403,39.873,39.386,39.864,30060772.0
2014-09-03,39.22,39.73,39.22,39.599,38246009.0
2014-09-02,40.014,40.04,39.504,39.714,26082287.0
2014-08-29,39.714,40.023,39.504,40.014,24533713.0
2014-08-28,39.412,39.616,39.292,39.528,20048408.0
2014-08-27,39.546,39.636,39.421,39.52,24170093.0
2014-08-26,39.907,39.985,39.579,39.645,16887133.0
